ORF	Gene	gene_set	set_label
YGR013W	SNU71	mRNA maturation	curated_processes
YBR152W	SPP381	mRNA maturation	curated_processes
YNL187W	SWT21	mRNA maturation	curated_processes
YOR179C	SYC1	mRNA maturation	curated_processes
YDR416W	SYF1	mRNA maturation	curated_processes
YPL157W	TGS1	mRNA maturation	curated_processes
YPR045C	THP3	mRNA maturation	curated_processes
YLR298C	YHC1	mRNA maturation	curated_processes
YJR084W	YJR084W	mRNA maturation	curated_processes
YKL095W	YJU2	mRNA maturation	curated_processes
YDR381W	YRA1	mRNA maturation	curated_processes
YLR277C	YSH1	mRNA maturation	curated_processes
YPR107C	YTH1	mRNA maturation	curated_processes
YER036C	ARB1	ribosome biogenesis	curated_processes
YIL096C	BMT5	ribosome biogenesis	curated_processes
YDL031W	DBP10	ribosome biogenesis	curated_processes
YNR038W	DBP6	ribosome biogenesis	curated_processes
YER088C	DOT6	ribosome biogenesis	curated_processes
YHL039W	EFM1	ribosome biogenesis	curated_processes
YBR271W	EFM2	ribosome biogenesis	curated_processes
YPL141C	FRK1	ribosome biogenesis	curated_processes
YLL035W	GRC3	ribosome biogenesis	curated_processes
YMR290C	HAS1	ribosome biogenesis	curated_processes
YGR187C	HGH1	ribosome biogenesis	curated_processes
YPR169W	JIP5	ribosome biogenesis	curated_processes
YNL227C	JJJ1	ribosome biogenesis	curated_processes
YNL308C	KRI1	ribosome biogenesis	curated_processes
YNL132W	KRE33	ribosome biogenesis	curated_processes
YKR063C	LAS1	ribosome biogenesis	curated_processes
YDR060W	MAK21	ribosome biogenesis	curated_processes
YPL211W	NIP7	ribosome biogenesis	curated_processes
YOR206W	NOC2	ribosome biogenesis	curated_processes
YDL213C	NOP6	ribosome biogenesis	curated_processes
YGR251W	NOP19	ribosome biogenesis	curated_processes
YPL146C	NOP53	ribosome biogenesis	curated_processes
YDL167C	NRP1	ribosome biogenesis	curated_processes
YGR159C	NSR1	ribosome biogenesis	curated_processes
YLR196W	PWP1	ribosome biogenesis	curated_processes
YOL010W	RCL1	ribosome biogenesis	curated_processes
YNL163C	RIA1	ribosome biogenesis	curated_processes
YDR091C	RLI1	ribosome biogenesis	curated_processes
YJL189W	RPL39	ribosome biogenesis	curated_processes
YMR229C	RRP5	ribosome biogenesis	curated_processes
YCL031C	RRP7	ribosome biogenesis	curated_processes
YOR294W	RRS1	ribosome biogenesis	curated_processes
YDL025C	RTK1	ribosome biogenesis	curated_processes
YHR205W	SCH9	ribosome biogenesis	curated_processes
YMR269W	TMA23	ribosome biogenesis	curated_processes
YBL054W	TOD6	ribosome biogenesis	curated_processes
YJR066W	TOR1	ribosome biogenesis	curated_processes
YNR046W	TRM112	ribosome biogenesis	curated_processes
YNL186W	UBP10	ribosome biogenesis	curated_processes
YJR041C	URB2	ribosome biogenesis	curated_processes
