ORF	term
YHR001W	cell cortex
YHR016C	cell cortex
YHR023W	cell cortex
YHR073W	cell cortex
YHR080C	cell cortex
YHR107C	cell cortex
YHR114W	cell cortex
YHR129C	cell cortex
YHR149C	cell cortex
YHR155W	cell cortex
YHR158C	cell cortex
YHR161C	cell cortex
YIL034C	cell cortex
YIL068C	cell cortex
YIL090W	cell cortex
YIL095W	cell cortex
YIL138C	cell cortex
YIL140W	cell cortex
YIR006C	cell cortex
YJL020C	cell cortex
YJL085W	cell cortex
YJL145W	cell cortex
YJR065C	cell cortex
YJR076C	cell cortex
YJR090C	cell cortex
YJR092W	cell cortex
