ORF	cluster	gene_name
YHR181W	Golgi and ER_GO_4	SVP26
YJL053W	Golgi and ER_GO_4	PEP8
YJL154C	Golgi and ER_GO_4	VPS35
YLL040C	Golgi and ER_GO_4	VPS13
YML097C	Golgi and ER_GO_4	VPS9
YMR004W	Golgi and ER_GO_4	MVP1
YOR069W	Golgi and ER_GO_4	VPS5
YOR089C	Golgi and ER_GO_4	VPS21
YOR132W	Golgi and ER_GO_4	VPS17
YOR327C	Golgi and ER_GO_4	SNC2
YPL120W	Golgi and ER_GO_4	VPS30
YPR032W	Golgi and ER_GO_4	SRO7
YBR164C	Golgi and ER_GO_3	ARL1
YCL001W	Golgi and ER_GO_3	RER1
YDL100C	Golgi and ER_GO_3	GET3
YDR108W	Golgi and ER_GO_3	TRS85
YDR153C	Golgi and ER_GO_3	ENT5
YDR372C	Golgi and ER_GO_3	VPS74
YER083C	Golgi and ER_GO_3	GET2
YER151C	Golgi and ER_GO_3	UBP3
YGL005C	Golgi and ER_GO_3	COG7
YGL020C	Golgi and ER_GO_3	GET1
YGL054C	Golgi and ER_GO_3	ERV14
YHL031C	Golgi and ER_GO_3	GOS1
YIL076W	Golgi and ER_GO_3	SEC28
YJL004C	Golgi and ER_GO_3	SYS1
YJL029C	Golgi and ER_GO_3	VPS53
YJR125C	Golgi and ER_GO_3	ENT3
YKR001C	Golgi and ER_GO_3	VPS1
YKR020W	Golgi and ER_GO_3	VPS51
YLR039C	Golgi and ER_GO_3	RIC1
YML071C	Golgi and ER_GO_3	COG8
YMR292W	Golgi and ER_GO_3	GOT1
YNL041C	Golgi and ER_GO_3	COG6
YNL049C	Golgi and ER_GO_3	SFB2
YNL051W	Golgi and ER_GO_3	COG5
YNL183C	Golgi and ER_GO_3	NPR1
YNL229C	Golgi and ER_GO_3	URE2
YNL297C	Golgi and ER_GO_3	MON2
YNR051C	Golgi and ER_GO_3	BRE5
YOL018C	Golgi and ER_GO_3	TLG2
YOR216C	Golgi and ER_GO_3	RUD3
YPL051W	Golgi and ER_GO_3	ARL3
YAL026C	Golgi and ER_GO_2	DRS2
YAL042W	Golgi and ER_GO_2	ERV46
YBL007C	Golgi and ER_GO_2	SLA1
YBL047C	Golgi and ER_GO_2	EDE1
YBL101C	Golgi and ER_GO_2	ECM21
YCR009C	Golgi and ER_GO_2	RVS161
YCR034W	Golgi and ER_GO_2	ELO2
YDL077C	Golgi and ER_GO_2	VAM6
YDL099W	Golgi and ER_GO_2	BUG1
YDL226C	Golgi and ER_GO_2	GCS1
YDR069C	Golgi and ER_GO_2	DOA4
YDR080W	Golgi and ER_GO_2	VPS41
YDR388W	Golgi and ER_GO_2	RVS167
YEL013W	Golgi and ER_GO_2	VAC8
YER031C	Golgi and ER_GO_2	YPT31
YER166W	Golgi and ER_GO_2	DNF1
YGL212W	Golgi and ER_GO_2	VAM7
YGR058W	Golgi and ER_GO_2	PEF1
